	  -0.3087380007	  -0.3022009027	   0.3148091975
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.2390384612	  -0.3572723056	  -0.1403857389
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3037314678	  -0.2971943698	   0.3098026646
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.2026302602	  -0.3228833073	  -0.1726295120
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2987249349	  -0.2921878368	   0.3047961316
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1668310296	  -0.2954331071	  -0.2121505995
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2937184020	  -0.2871813038	   0.2997895987
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1331788127	  -0.2750131002	  -0.2552529506
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2887118691	  -0.2821747709	   0.2947830658
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1006969225	  -0.2622704646	  -0.3041164012
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2837053361	  -0.2771682379	   0.2897765329
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0682621635	  -0.2557253139	  -0.3595165829
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2786988032	  -0.2721617049	   0.2847699999
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0361743162	  -0.2555440467	  -0.4225254823
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2736922703	  -0.2671551719	   0.2797634670
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0042718418	  -0.2596255237	  -0.4910792252
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2686857373	  -0.2621486390	   0.2747569341
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0277340431	  -0.2677181845	  -0.5647894155
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2636792044	  -0.2571421060	   0.2697504012
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0597495557	  -0.2782132829	  -0.6434904796
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2586726715	  -0.2521355730	   0.2647438682
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0922583615	  -0.2910794874	  -0.7246842028
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2536661385	  -0.2471290400	   0.2597373353
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1211278512	  -0.3044237843	  -0.8074049298
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2486596056	  -0.2421225070	   0.2547308024
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1479412422	  -0.3188581650	  -0.8879111022
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2436530727	  -0.2371159740	   0.2497242695
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1705673805	  -0.3348564919	  -0.9631343711
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2386465397	  -0.2321094411	   0.2447177365
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1860536732	  -0.3527430514	  -1.0293298579
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2336400068	  -0.2271029081	   0.2397112036
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1897393093	  -0.3735912836	  -1.0828277909
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2286334738	  -0.2220963751	   0.2347046707
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1794779604	  -0.4010792721	  -1.1176330692
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2236269409	  -0.2170898421	   0.2296981377
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1509842799	  -0.4346356950	  -1.1296403664
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2186204079	  -0.2120833091	   0.2246916048
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1002603088	  -0.4770744353	  -1.1165720412
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2136138750	  -0.2070767761	   0.2196850719
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0248616461	  -0.5292955402	  -1.0758481499
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2086073421	  -0.2020702431	   0.2146785389
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0748640075	  -0.5918824944	  -1.0106863686
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.2036008091	  -0.1970637101	   0.2096720060
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.1989866781	  -0.6678266468	  -0.9206365258
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1985942762	  -0.1920571771	   0.2046654731
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.3485740760	  -0.7601846739	  -0.8074199000
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1935877432	  -0.1870506441	   0.1996589401
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.5266523037	  -0.8761534606	  -0.6664477896
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1885812103	  -0.1820441111	   0.1946524072
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.7213265411	  -1.0162366839	  -0.5009659315
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1835746774	  -0.1770375781	   0.1896458743
Ground state dipole moment (Debye):
